dtime,timestamp,open,high,low,close,vwap,volume,trades,pair
2024-11-18 12:00:00,1731931200,85573.7,87456.0,84611.3,87297.5,86022.6,301.47309446,8748,XXBTZEUR
2024-11-18 16:00:00,1731945600,87297.5,87489.0,84688.5,85579.9,85901.1,136.41250715,6164,XXBTZEUR
2024-11-18 20:00:00,1731960000,85579.9,86800.0,85250.0,85430.9,86243.8,199.51127459,4666,XXBTZEUR
2024-11-19 00:00:00,1731974400,85431.0,86342.9,85328.0,86282.6,85794.0,12.96739503,1418,XXBTZEUR
2024-11-19 04:00:00,1731988800,86296.1,86900.0,86148.5,86631.8,86628.4,71.78072429,3758,XXBTZEUR
2024-11-19 08:00:00,1732003200,86631.8,87000.0,86448.4,86800.0,86777.3,113.24843963,4680,XXBTZEUR
2024-11-19 12:00:00,1732017600,86800.1,87670.7,86101.5,87331.7,86982.3,282.28153251,6962,XXBTZEUR
2024-11-19 16:00:00,1732032000,87331.6,88650.0,87144.1,88000.0,88045.4,479.65592754,10474,XXBTZEUR
2024-11-19 20:00:00,1732046400,87999.9,88328.0,86465.0,87063.1,87214.5,193.03129275,6103,XXBTZEUR
2024-11-20 00:00:00,1732060800,87063.1,87246.4,86500.0,86993.4,86862.2,20.47868478,1781,XXBTZEUR
2024-11-20 04:00:00,1732075200,86999.0,87825.7,86854.9,87811.1,87398.2,67.23185011,3776,XXBTZEUR
2024-11-20 08:00:00,1732089600,87816.3,88664.6,87792.0,88568.1,88345.6,209.85487513,6938,XXBTZEUR
2024-11-20 12:00:00,1732104000,88568.1,90000.0,88449.7,89999.9,89409.5,464.09416645,11191,XXBTZEUR
2024-11-20 16:00:00,1732118400,90000.0,90046.3,88403.3,89188.6,89325.3,353.22984226,10092,XXBTZEUR
2024-11-20 20:00:00,1732132800,89188.6,89700.0,88837.0,89111.6,89078.1,249.03712747,6843,XXBTZEUR
2024-11-21 00:00:00,1732147200,89119.7,90730.9,89104.4,90626.7,90073.7,193.04479183,5251,XXBTZEUR
2024-11-21 04:00:00,1732161600,90626.8,92220.4,90626.7,91735.3,91614.5,468.19624063,14192,XXBTZEUR
2024-11-21 08:00:00,1732176000,91735.3,93250.0,91688.2,92999.9,92489.3,530.72835072,15517,XXBTZEUR
2024-11-21 12:00:00,1732190400,93000.0,93193.7,90800.1,91907.1,92231.2,409.3464896,12315,XXBTZEUR
2024-11-21 16:00:00,1732204800,91907.2,94246.6,91633.1,93101.9,93409.4,506.59195042,12841,XXBTZEUR
2024-11-21 20:00:00,1732219200,93101.9,93900.0,92915.6,93654.6,93429.5,246.62138938,8567,XXBTZEUR
2024-11-22 00:00:00,1732233600,93645.1,94400.0,93165.7,94130.0,93873.5,100.98460142,3765,XXBTZEUR
2024-11-22 04:00:00,1732248000,94130.0,94586.3,93897.5,94315.8,94363.6,169.97120825,8928,XXBTZEUR
2024-11-22 08:00:00,1732262400,94315.8,94780.4,93956.3,94697.0,94383.6,370.32022619,13005,XXBTZEUR
2024-11-22 12:00:00,1732276800,94697.0,94905.0,93300.0,94778.9,94131.1,299.82442374,10853,XXBTZEUR
2024-11-22 16:00:00,1732291200,94770.0,95497.1,94362.1,95036.0,95069.9,400.97739198,10192,XXBTZEUR
2024-11-22 20:00:00,1732305600,95036.1,95399.9,94520.0,94812.3,94872.8,100.60735735,5356,XXBTZEUR
2024-11-23 00:00:00,1732320000,94819.5,94824.0,94077.0,94389.7,94361.3,80.55912445,3371,XXBTZEUR
2024-11-23 04:00:00,1732334400,94389.7,94544.6,94030.0,94208.0,94363.6,42.52231484,3623,XXBTZEUR
2024-11-23 08:00:00,1732348800,94208.0,94266.0,94030.0,94176.5,94139.2,150.29909881,5134,XXBTZEUR
